p,d,q,aic,bic
1,0,1,5.902699203093707,18.398555120706742
0,0,1,6.215625642141482,15.587517580351259
1,0,0,6.227210998624603,15.59910293683438
2,0,1,7.8810880260586735,23.500907923074966
1,0,2,7.881647782824125,23.501467679840417
0,0,2,8.070014591995964,20.565870509609
2,0,0,8.096124070071728,20.591979987684763
2,0,2,9.104336294091077,27.84812017051063
3,0,1,9.87443687750358,28.618220753923133
0,0,3,9.996782083225334,25.616601980241626
1,0,3,10.015523659857095,28.759307536276648
3,0,0,10.036907227755723,25.656727124772015
0,1,1,10.542851139188322,16.778838764021835
2,0,3,11.050039413582656,32.917787269405466
3,0,2,11.618439788191555,33.486187644014365
0,1,2,12.401969006146068,21.755950443396333
1,1,1,12.408123328617755,21.76210476586802
3,0,3,13.732231943370962,38.72394377859703
1,1,2,13.78342405627275,26.255399305939772
0,1,3,14.314684598742872,26.786659848409894
2,1,1,14.32710606739208,26.799081317059102
2,1,3,14.684645125372256,33.39260799987279
1,1,3,15.52713721033409,31.117106272417868
2,1,2,15.533781966325208,31.123751028408986
3,1,1,16.299581761625696,31.889550823709474
3,1,2,17.51026407693206,36.21822695143259
3,1,3,18.55647891646042,40.38243560337771
3,1,0,51.34314809266045,63.81512334232747
2,1,0,59.19646089317484,68.5504423304251
1,1,0,77.69805164507433,83.93403926990784
0,1,0,124.68053500364618,127.79852881606294
