p,d,q,P,D,Q,s,aic,bic
0,1,2,1,0,1,4,4.007629484966074,19.383498561135205
1,1,2,1,0,1,4,4.9190701564528965,23.370113047855856
0,1,2,0,0,1,4,5.33209855977961,17.632793820714916
2,1,2,1,0,1,4,6.723465145855286,28.249681852492074
1,1,1,1,0,0,4,6.829493699421583,19.179879040351118
0,1,1,1,0,1,4,7.0750900146985245,19.400707474636377
1,1,2,0,0,1,4,7.182624027073636,22.558493103242768
0,1,1,0,0,1,4,7.566520252255302,16.81073334720869
1,1,2,0,0,0,4,7.975557863822466,20.37502357511926
0,1,1,1,0,0,4,8.352928853441227,17.634179455861513
2,1,2,1,0,0,4,8.897397160479315,27.385823350386094
1,1,1,1,0,1,4,9.07314426535013,24.480166090272448
2,1,2,0,0,1,4,9.165440934367417,27.616483825770377
1,0,1,0,0,1,4,9.237091936978153,21.587477277907688
1,0,1,1,0,1,4,9.359264497699321,24.79724617386124
0,1,2,0,0,0,4,9.435849485225901,18.735448768698497
1,1,1,0,0,1,4,9.54190662375759,21.867524083695443
2,1,1,1,0,0,4,9.67157291553061,25.078594740452928
2,1,2,0,0,0,4,9.70045276856014,25.199784907681135
1,1,2,1,0,0,4,9.944601709439901,25.38258338560182
2,0,2,0,0,0,4,10.068456785953721,25.59818415545662
0,1,1,0,0,0,4,10.345514170918229,16.557405118719387
1,0,1,1,0,0,4,10.346246649800577,22.721247453027626
0,1,2,1,0,0,4,10.348756560939485,22.723757364166534
1,0,2,0,0,1,4,10.781509288111579,26.188531113033896
2,1,1,0,0,1,4,11.078183081387508,26.485204906309825
2,0,1,0,0,1,4,11.214513608446488,26.652495284608406
2,0,1,1,0,0,4,11.34269349159684,26.78067516775876
2,0,1,1,0,1,4,11.358841073802793,29.884419085197095
0,0,1,0,1,1,4,11.430042555169457,20.61782765425036
2,1,1,1,0,1,4,12.100594052270992,30.58902024217777
1,0,2,1,0,1,4,12.147147456746772,30.63557364665355
1,1,1,0,0,0,4,12.240652530948836,21.558488952650578
1,0,2,1,0,0,4,12.342922790088863,27.811673794122676
2,0,2,1,0,0,4,12.49273217771836,31.01831018911266
2,0,2,0,1,1,4,12.947590519282642,31.285065351372488
1,0,1,0,1,1,4,13.001264109229076,25.251644241336944
0,0,2,0,1,1,4,13.135498808531977,25.36048202992521
2,0,2,1,0,1,4,13.194697687326219,34.76452824221746
1,0,1,0,0,0,4,13.213993393940612,22.549956759010243
1,1,2,0,1,1,4,13.372301700157692,28.62158173640538
0,0,0,0,0,1,4,13.400061833688067,19.58756223530159
